id,name,description,price,category,image_url,stock_quantity
1,"iPhone 15 Pro","Smartphone Apple avec écran Super Retina XDR de 6,1 pouces, processeur A17 Pro, triple caméra 48MP",1199.99,"Électronique","/static/images/iphone15pro.jpg",50
2,"MacBook Air M2","Ordinateur portable Apple avec puce M2, écran Liquid Retina 13,6 pouces, 8 Go RAM, 256 Go SSD",1299.99,"Informatique","/static/images/macbookair.jpg",30
3,"AirPods Pro 2","Écouteurs sans fil Apple avec réduction de bruit active, boîtier de charge MagSafe",279.99,"Audio","/static/images/airpodspro.jpg",100
4,"iPad Air 5","Tablette Apple avec puce M1, écran Liquid Retina 10,9 pouces, 64 Go de stockage",599.99,"Tablettes","/static/images/ipadair.jpg",40
5,"Apple Watch Series 9","Montre connectée Apple avec écran Always-On, GPS, suivi de santé avancé",429.99,"Montres connectées","/static/images/applewatch.jpg",60
6,"Samsung Galaxy S24","Smartphone Samsung avec écran Dynamic AMOLED 6,2 pouces, triple caméra 50MP, 128 Go",899.99,"Électronique","/static/images/galaxys24.jpg",35
7,"Sony WH-1000XM5","Casque audio sans fil avec réduction de bruit, autonomie 30h, charge rapide",399.99,"Audio","/static/images/sonywh1000xm5.jpg",25
8,"Dell XPS 13","Ordinateur portable Dell avec processeur Intel i7, écran 13,4 pouces 4K, 16 Go RAM",1499.99,"Informatique","/static/images/dellxps13.jpg",20
9,"Nintendo Switch OLED","Console de jeu portable Nintendo avec écran OLED 7 pouces, manettes Joy-Con",349.99,"Gaming","/static/images/switcholed.jpg",45
10,"PlayStation 5","Console de jeu Sony PlayStation 5 avec lecteur Blu-ray Ultra HD, manette DualSense",499.99,"Gaming","/static/images/ps5.jpg",15
11,"Canon EOS R6","Appareil photo hybride Canon avec capteur plein format 20MP, stabilisation 5 axes",2499.99,"Photo","/static/images/canoneosr6.jpg",10
12,"DJI Mini 3 Pro","Drone DJI avec caméra 4K, stabilisation 3 axes, autonomie 47 minutes",759.99,"Drones","/static/images/djimini3pro.jpg",8
